City ID,City,Country,Date_Unix_format,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Aplahoue,BJ,1547513145,1/15/2019 0:45,6.93,1.68,78.7,75,0,7.25
89,Victoria,BN,1547510400,1/15/2019 0:00,5.28,115.24,80.6,88,75,5.82
90,Mineros,BO,1547510400,1/15/2019 0:00,-17.12,-63.23,78.8,88,40,4.7
91,Uyuni,BO,1547513087,1/15/2019 0:44,-20.46,-66.82,48.1,85,12,4
92,Arraial do Cabo,BR,1547513065,1/15/2019 0:44,-22.97,-42.02,78.07,83,8,19.89
93,Barra do Garcas,BR,1547513143,1/15/2019 0:45,-15.89,-52.26,83.96,50,12,6.31
94,Boa Esperanca,BR,1547513076,1/15/2019 0:44,-1.91,-60,75.1,94,44,3.06
95,Boca do Acre,BR,1547512912,1/15/2019 0:41,-8.76,-67.39,76.18,90,20,2.1
96,Bocaiuva,BR,1547510400,1/15/2019 0:00,-17.12,-43.81,77,53,0,3.36
97,Cabedelo,BR,1547510400,1/15/2019 0:00,-6.97,-34.84,77,83,20,5.82
98,Campo Largo,BR,1547511300,1/15/2019 0:15,-25.46,-49.53,69.8,94,75,4.7
99,Caravelas,BR,1547513140,1/15/2019 0:45,-17.73,-39.27,80.95,100,8,13.96
100,Carutapera,BR,1547513069,1/15/2019 0:44,-1.2,-46.02,77.39,95,64,6.13
101,Cidreira,BR,1547513075,1/15/2019 0:44,-30.17,-50.22,79.01,91,56,4.12
102,Cururupu,BR,1547513132,1/15/2019 0:45,-1.82,-44.87,78.43,87,88,5.35
103,Imbituba,BR,1547510400,1/15/2019 0:00,-28.24,-48.67,82.4,78,75,10.29
104,Itarema,BR,1547512865,1/15/2019 0:41,-2.92,-39.92,75.55,97,20,4.9
105,Jacareacanga,BR,1547513076,1/15/2019 0:44,-6.22,-57.76,77.53,88,64,2.06
106,Maracacume,BR,1547513136,1/15/2019 0:45,-2.04,-45.96,76.58,91,76,5.23
107,Nova Olinda do Norte,BR,1547513101,1/15/2019 0:45,-3.89,-59.1,78.61,86,56,3.89
108,Oriximina,BR,1547513102,1/15/2019 0:45,-1.77,-55.87,76.72,95,36,2.1
109,Ponta do Sol,BR,1547513066,1/15/2019 0:44,-20.63,-46,72.49,80,36,2.73
110,Porto Novo,BR,1547510400,1/15/2019 0:00,-23.68,-45.44,75.2,78,40,3.36
